word,part_of_speech,class,definition_en,definition_sn,example_sentence,synonyms,antonyms,source
vapurisa,noun,Class 2,police officers,,,,,spaCy Lexicon
vafundisi,noun,Class 2,pastors,,,,,spaCy Lexicon
vaporofita,noun,Class 2,prophets,,,,,spaCy Lexicon
vashandi,noun,Class 2,workers,,,,,spaCy Lexicon
vadzimu,noun,Class 2,ancestral spirits,,,,,spaCy Lexicon
vanyori,noun,Class 2,writers,,,,,spaCy Lexicon
vafemberi,noun,Class 2,diviners,,,,,spaCy Lexicon
vapfumi,noun,Class 2,rich people,,,,,spaCy Lexicon
vanhu,noun,Class 2,people / human beings,,,,,spaCy Lexicon
vapenzi,noun,Class 2,fools / mad people,,,,,spaCy Lexicon
varoyi,noun,Class 2,witches / sorcerers,,,,,spaCy Lexicon
vanyepi,noun,Class 2,liars,,,,,spaCy Lexicon
vashavi,noun,Class 2,spirit mediums,,,,,spaCy Lexicon
vashumiri,noun,Class 2,servants / ministers,,,,,spaCy Lexicon
vabatsiri,noun,Class 2,helpers / assistants,,,,,spaCy Lexicon
vagadziri,noun,Class 2,builders / creators,,,,,spaCy Lexicon
vafudzi,noun,Class 2,shepherds,,,,,spaCy Lexicon
vabiki,noun,Class 2,cooks,,,,,spaCy Lexicon
vatambi,noun,Class 2,players / dancers,,,,,spaCy Lexicon
vaperekedzi,noun,Class 2,escorts / companions,,,,,spaCy Lexicon
vashanyi,noun,Class 2,visitors / tourists,,,,,spaCy Lexicon
vagari,noun,Class 2,residents / dwellers,,,,,spaCy Lexicon
vashambadzi,noun,Class 2,advertisers / broadcasters,,,,,spaCy Lexicon
vanyori venhau,noun,Class 2,journalists / news writers,,,,,spaCy Lexicon
vanyori vemabhuku,noun,Class 2,book authors,,,,,spaCy Lexicon
kuchikoro,noun,Class 17,to school,,,,,spaCy Lexicon
kumabvazuva,noun,Class 17,to the east,,,,,spaCy Lexicon
kumadokero,noun,Class 17,to the west,,,,,spaCy Lexicon
kumunda,noun,Class 17,to the field,,,,,spaCy Lexicon
kunevamwe,noun,Class 17,towards others / to people,,,,,spaCy Lexicon
kumakomo,noun,Class 17,to the mountains,,,,,spaCy Lexicon
kundiro,noun,Class 17,to the plate,,,,,spaCy Lexicon
mumusha,noun,Class 18,in the homestead / within the village,,,,,spaCy Lexicon
muguta,noun,Class 18,in the city,,,,,spaCy Lexicon
mumunda,noun,Class 18,in the field,,,,,spaCy Lexicon
muchikoro,noun,Class 18,inside the school,,,,,spaCy Lexicon
mumba,noun,Class 18,inside the house,,,,,spaCy Lexicon
murwizi,noun,Class 18,in the river,,,,,spaCy Lexicon
mumapako,noun,Class 18,in the caves,,,,,spaCy Lexicon
mukati,noun,Class 18,inside / within,,,,,spaCy Lexicon
mumhanza,noun,Class 18,on/in the forehead,,,,,spaCy Lexicon
mupfungwa,noun,Class 18,in the mind,,,,,spaCy Lexicon
pfungwa,noun,Class 19,thought / idea,,,,,spaCy Lexicon
pfumo,noun,Class 19,spear,,,,,spaCy Lexicon
pfupi,adjective,Class 19,short; brief,chinhu chisina kureba zvakanyanya,,,,"spaCy Lexicon, Wiktionary, Elliott 1897"
pfi,unknown,Class 19,(sound of something falling sharply),,,,,spaCy Lexicon
kupfira,verb,Class 19,to pour / to offer libation,,,,,spaCy Lexicon
pfupi-pfupi,adjective,Class 19,very short / compact,,,,,spaCy Lexicon
pfumbamwe,unknown,Class 19,nine,,,,,spaCy Lexicon
pfuma,noun,Class 19,wealth / riches,,,,,spaCy Lexicon
pfambi,noun,Class 19,prostitute / unfaithful woman,,,,,spaCy Lexicon
pfupiwo,adverb,Class 19,also short / likewise short,,,,,spaCy Lexicon
kufamba,noun,Class 20,walking / journey,,,,,spaCy Lexicon
kudzidza,noun,Class 20,learning / education,,,,,spaCy Lexicon
kushanda,noun,Class 20,work / labour,,,,,spaCy Lexicon
kufunga,noun,Class 20,thought / thinking,,,,,spaCy Lexicon
kuda,noun,Class 20,love / affection / desire,,,,,spaCy Lexicon
kutya,noun,Class 20,fear,,,,,spaCy Lexicon
kushushikana,noun,Class 20,worry / anxiety,,,,,spaCy Lexicon
kurima,noun,Class 20,farming,,,,,spaCy Lexicon
kugara,noun,Class 20,residence / way of living,,,,,spaCy Lexicon
kuzvarwa,noun,Class 20,birth,,,,,spaCy Lexicon
kamwana,noun,Diminutive,small child,,,,,spaCy Lexicon
tuvana,noun,Diminutiveplural,small children,,,,,spaCy Lexicon
kamukadzi,noun,Diminutive,small/insignificant woman,,,,,spaCy Lexicon
kamusha,noun,Diminutive,small village,,,,,spaCy Lexicon
zimoto,noun,Augmentative,big fire,,,,,spaCy Lexicon
gombarume,noun,Augmentative,strong/big man,,,,,spaCy Lexicon
zvino,adverb,Augmentativeform,now (literally: at this large moment),,,,,spaCy Lexicon
zvitunha,noun,Augmentativeplural,big corpses / carcasses,,,,,spaCy Lexicon
ini,pronoun,Independent,I / me,,,,,spaCy Lexicon
iwe,pronoun,Independent,you (singular),,,,,spaCy Lexicon
iye,pronoun,Independent,he / she,,,,,spaCy Lexicon
isu,pronoun,Independent,we / us,,,,,spaCy Lexicon
imi,pronoun,Independent,you (plural or respectful singular),,,,,spaCy Lexicon
ivo,pronoun,Independent,they / them,,,,,spaCy Lexicon
wangu,pronoun,Possessive,mine (singular),,,,,spaCy Lexicon
wako,pronoun,Possessive,yours (singular),,,,,spaCy Lexicon
wake,pronoun,Possessive,his / hers,,,,,spaCy Lexicon
wedu,pronoun,Possessive,ours,,,,,spaCy Lexicon
wenyu,pronoun,Possessive,yours (plural),,,,,spaCy Lexicon
wavo,pronoun,Possessive,theirs,,,,,spaCy Lexicon
ndi,pronoun,Objectprefix,me,,,,,spaCy Lexicon
ku,pronoun,Objectprefix,you,,,,,spaCy Lexicon
mu,pronoun,Objectprefix,him/her,,,,,spaCy Lexicon
ti,pronoun,Objectprefix,us,,,,,spaCy Lexicon
mi,pronoun,Objectprefix,you (plural),,,,,spaCy Lexicon
va,pronoun,Objectprefix,them,,,,,spaCy Lexicon
zvi,pronoun,Reflexive,oneself / themselves,,,,,spaCy Lexicon
dzi,pronoun,Reflexivevariant,yourself,,,,,spaCy Lexicon
uyu,pronoun,Demonstrative,this (person),,,,,spaCy Lexicon
uyo,pronoun,Demonstrative,that (person),,,,,spaCy Lexicon
ichi,pronoun,Demonstrative,this (thing),,,,,spaCy Lexicon
icho,pronoun,Demonstrative,that (thing),,,,,spaCy Lexicon
iyi,pronoun,Demonstrative,this (feminine noun class),,,,,spaCy Lexicon
iyo,pronoun,Demonstrative,that (feminine noun class),,,,,spaCy Lexicon
ivo ava,pronoun,Demonstrativeplural,these (people),,,,,spaCy Lexicon
ivo avo,pronoun,Demonstrativeplural,those (people),,,,,spaCy Lexicon
-i,unknown,,===Etymology=== ===Suffix=== # ====Derived terms====,,,,,Wiktionary
-mu-,unknown,,===Etymology=== . ===Infix=== # ===References=== *,,,,,Wiktionary
-ndi-,unknown,,===Etymology=== . ===Infix=== # ===References=== *,,,,,Wiktionary
a,unknown,,===Letter=== # ====See also==== *; Swadesh Concept: he,,,,,"Wiktionary, Wiktionary Swadesh"
bhunu,noun,,Afrikaner,,,,,Wiktionary
bhuruwayo,unknown,,===Etymology=== From . ===Proper noun=== #,,,,,Wiktionary
china,noun,,Thursday,,,,,Wiktionary
chipinga,unknown,,}},,,,,Wiktionary
chipiri,noun,,Tuesday,,,,,Wiktionary
chiratini,unknown,,Latin,,,,,Wiktionary
chishanu,noun,,Friday,,,,,Wiktionary
chisimira,unknown,,the Pleiades,,,,,Wiktionary
chitanhatu,noun,,Saturday,,,,,Wiktionary
chitatu,noun,,Wednesday,,,,,Wiktionary
dzv,unknown,,===Alternative forms=== *Dɀ ===Pronunciation=== * ===Letter=== #,,,,,Wiktionary
d,unknown,,===Alternative forms=== *Dzv ===Pronunciation=== * ===Letter=== #,,,,,Wiktionary
gatoma,unknown,,}},,,,,Wiktionary
gweru,unknown,,}},,,,,Wiktionary
harare,unknown,,===Proper noun=== #,,,,,Wiktionary
josefa,unknown,,===Proper noun=== #,,,,,Wiktionary
kwekwe,unknown,,}},,,,,Wiktionary
marondera,unknown,,}},,,,,Wiktionary
moyo,unknown,,"===Proper noun=== # ====Statistics==== According to data collected by Forebears in 2014, Moyo was the most common surname in Zimbabwe (327 457 persons = 2.5 percent of the population).; Swadesh Concept: heart",,,,,"Wiktionary, Wiktionary Swadesh"
mugovera,noun,,Saturday,,,,,Wiktionary
mutare,unknown,,}},,,,,Wiktionary
muvhuro,noun,,Monday,,,,,Wiktionary
nyadire,unknown,,===Proper noun=== #,,,,,Wiktionary
rusapi,unknown,,}},,,,,Wiktionary
sakubva,unknown,,}},,,,,Wiktionary
simba,unknown,,===Etymology=== From . ===Proper noun=== #,,,,,Wiktionary
sondo,noun,Class 9,#; ''or'' #,,,,,Wiktionary
sv,unknown,,===Alternative forms=== *Ȿ ===Pronunciation=== * ===Letter=== #,,,,,Wiktionary
svondo,noun,Class 9,Sunday; week; church service,,,,,Wiktionary
tsv,unknown,,===Alternative forms=== *Tȿ ===Pronunciation=== * ===Letter=== #,,,,,Wiktionary
t,unknown,,===Alternative forms=== *Tsv ===Pronunciation=== * ===Letter=== #,,,,,Wiktionary
vh,unknown,,===Pronunciation=== * ===Letter=== #,,,,,Wiktionary
zimbabwe,unknown,,===Pronunciation=== * ===Proper noun=== #,,,,,Wiktionary
zv,unknown,,===Alternative forms=== *Ɀ ===Pronunciation=== * ===Letter=== #,,,,,Wiktionary
aini,noun,Class 9,iron,,,,,Wiktionary
amburera,noun,Class 5,umbrella,,,,,Wiktionary
ani,pronoun,,who,,,,,Wiktionary
kuba,verb,,to steal,,,,,Wiktionary
baba,noun,Class 1a,father,,,,,Wiktionary
bakayau,noun,,dried fish,,,,,Wiktionary
bara,noun,Class 5,bullet,,,,,Wiktionary
kubata,verb,,"hold, grasp; touch",,,,,Wiktionary
batya,noun,Class 5,twin,,,,,Wiktionary
bhachi,noun,Class 5,jacket,,,,,Wiktionary
kubhadhara,verb,,pay,,,,,Wiktionary
bhaiskopu,noun,Class 5,"film, movie",,,,,Wiktionary
bhandi,noun,Class 5,belt; strap,,,,,Wiktionary
bhatye,noun,Class 5,#,,,,,Wiktionary
bhaudhi,noun,Class 5,bolt,,,,,Wiktionary
bhazi,noun,Class 5,bus,,,,,Wiktionary
bheka,noun,,bakery,,,,,Wiktionary
bhikiri,noun,Class 5,mug,,,,,Wiktionary
bhiza,noun,Class 5,horse,,,,,Wiktionary
bhodhoro,noun,,#,,,,,Wiktionary
bhodyera,noun,,#,,,,,Wiktionary
bhokisi,noun,Class 5,box; coffin,,,,,Wiktionary
bhotoro,noun,,bottle,,,,,Wiktionary
bhucha,noun,Class 5,"slaughterhouse, butcher's shop",,,,,Wiktionary
bhuku,noun,Class 5,book,,,,,Wiktionary
bhurugwa,noun,Class 5,#,,,,,Wiktionary
bhurukwa,noun,Class 5,"pants, trousers",,,,,Wiktionary
bhurukwe,noun,Class 5,#,,,,,Wiktionary
kubika,verb,,to cook; to brew,kupisa chikafu pamoto chichibva chogadzirwa kudyiwa,,,,"Wiktionary, Elliott 1897"
bundo,noun,Class 5,growing grass; grassland; weed,,,,,Wiktionary
bundu,noun,Class 5,lump; knot in wood,,,,,Wiktionary
buno,noun,Class 5,tomato,,,,,Wiktionary
bvupa,noun,Class 5,bone,,,,,Wiktionary
bwato,noun,,canoe,,,,,Wiktionary
bwe,noun,,#,,,,,Wiktionary
kuchaira,verb,,#,,,,,Wiktionary
chamboko,noun,Class 7,sjambok,,,,,Wiktionary
chanza,noun,Class 7,palm of hand,,,,,Wiktionary
chechi,noun,Class 9,church,,,,,Wiktionary
chena,adjective,,white; clean; pure,ruvara runoita semukaka; chinhu chisina tsvina,,,,"Wiktionary, Elliott 1897"
chepfu,noun,Class 9,poison,,,,,Wiktionary
chi-,unknown,,===Etymology=== From . ===Prefix=== #,,,,,Wiktionary
chibhunu,noun,,Afrikaans,,,,,Wiktionary
chingezi,noun,,English (language),,,,,Wiktionary
chiputukezi,noun,,Portuguese language,,,,,Wiktionary
chirungu,noun,,a European language; English,,,,,Wiktionary
chishona,noun,,Shona language,,,,,Wiktionary
chibhokisi,noun,,smallpox,,,,,Wiktionary
chidhakwa,noun,Class 7,"drunk, drunkard",,,,,Wiktionary
chidhina,noun,Class 7,brick,,,,,Wiktionary
chigaro,noun,Class 7,"seat, chair; chair; seat; stool",chinhu chokugarira,,,,"Wiktionary, Elliott 1897"
chigwagwagwa,noun,Class 7,machine gun,,,,,Wiktionary
chikei,noun,Class 7,yoke-pin,,,,,Wiktionary
chikepe,noun,Class 7,boat,,,,,Wiktionary
chikope,noun,Class 7,eyelid,,,,,Wiktionary
chikoro,noun,Class 7,school,nzvimbo inodzidzirwa zivo,,,,"Wiktionary, Elliott 1897"
chikwereti,noun,Class 7,"debt, loan",,,,,Wiktionary
chimanje-manje,adjective,,"modern, modernism",,,,,Wiktionary
chimurenga,noun,Class 7,"rebellion, revolution; a war fought against European colonists",,,,,Wiktionary
chinanazi,noun,Class 7,pineapple,,,,,Wiktionary
chingwa,noun,Class 7,bread,chikafu chakabikwa nehupfu hwakaviriswa,,,,"Wiktionary, Elliott 1897"
chinhu,noun,Class 7,"thing, something; pneumonia",,,,,Wiktionary
kuchipa,verb,,"be cheap, be inexpensive",,,,,Wiktionary
chipanji,noun,Class 7,#,,,,,Wiktionary
chipatara,noun,Class 7,hospital,,,,,Wiktionary
chipfuva,noun,Class 7,chest,,,,,Wiktionary
chipikiri,noun,Class 7,nail,,,,,Wiktionary
chipoko,noun,Class 7,ghost,,,,,Wiktionary
chiponji,noun,Class 7,sponge,,,,,Wiktionary
chipunu,noun,Class 7,spoon,,,,,Wiktionary
chiraparapa,noun,,Fanagalo,,,,,Wiktionary
chirebvu,noun,Class 7,chin,,,,,Wiktionary
chiroto,noun,Class 7,dream,,,,,Wiktionary
chishambo,noun,Class 7,sponge,,,,,Wiktionary
chitina,noun,Class 7,#,,,,,Wiktionary
chitokisi,noun,Class 7,prison cell,,,,,Wiktionary
chitoro,noun,Class 7,shop,,,,,Wiktionary
chituro,noun,Class 7,#,,,,,Wiktionary
chituru,noun,Class 7,stool,,,,,Wiktionary
chiuru,noun,Class 7,thousand,,,,,Wiktionary
chiwepu,noun,Class 7,whip,,,,,Wiktionary
chizi,noun,Class 9,cheese,,,,,Wiktionary
choto,noun,Class 7,fireplace (in a house) hearth,,,,,Wiktionary
chuma,noun,,bead(s),,,,,Wiktionary
churu,noun,Class 7,#,,,,,Wiktionary
dako,noun,Class 5,buttock,,,,,Wiktionary
kudana,verb,,"call, summon",,,,,Wiktionary
dapiri,noun,Class 5,potato,,,,,Wiktionary
kudhaka,verb,,"to intoxicate, to make drunk",,,,,Wiktionary
kudhakwa,verb,,be drunk,,,,,Wiktionary
dhiraivha,noun,Class 1a,driver,,,,,Wiktionary
dhirezi,noun,Class 5,dress,,,,,Wiktionary
dhongana,noun,Class 5,donkey foal,,,,,Wiktionary
dhongi,noun,Class 5,donkey,,,,,Wiktionary
kudhonza,verb,,pull,,,,,Wiktionary
dhorobha,noun,Class 5,town,,,,,Wiktionary
dhuku,noun,Class 5,head tie,,,,,Wiktionary
kudhura,verb,,be expensive,,,,,Wiktionary
diki,adjective,,"small, little; young; small; little; minor",chinhu chidiki chisingasviki pakureba kana huwandu,,,,"Wiktionary, Elliott 1897"
doko,adjective,,# =,,,,,Wiktionary
domasi,noun,,tomato,,,,,Wiktionary
dondo,noun,Class 5,forest; fruit of the mutondo tree; florescence,,,,,Wiktionary
kudondodza,verb,,to walk using a stick,,,,,Wiktionary
duku,adjective,,# =,,,,,Wiktionary
dumbu,noun,Class 5,belly; intestines,,,,,Wiktionary
duramazwi,noun,,dictionary,,,,,Wiktionary
kudya,verb,,to eat,kuisa chikafu mukanwa uchitsenga nekumedza mudumbu,,,,"Wiktionary, Elliott 1897"
dziva,noun,Class 5,"pond, pool",,,,,Wiktionary
kufa,verb,,to die,,,,,Wiktionary
fafitera,noun,Class 5,window,,,,,Wiktionary
kufamba,verb,,to walk; to travel; to move,kushandisa makumbo kufamba kubva kune imwe nzvimbo uchienda pane imwe,,,,"Wiktionary, Elliott 1897"
famu,noun,Class 9,farm,,,,,Wiktionary
firimu,noun,Class 9,"film, movie; film",,,,,Wiktionary
fodya,noun,Class 9,tobacco; cigarette,chinhu chinoputwa kana kutsengwa chine utsi nemishonga inoderedza pfungwa,,,,"Wiktionary, Elliott 1897"
fofo,noun,Class 9,match,,,,,Wiktionary
foshoro,noun,Class 9,"shovel, spade",,,,,Wiktionary
kufunda,verb,,study; learn,,,,,Wiktionary
fupa,noun,Class 5,#,,,,,Wiktionary
gamera,noun,Class 9,#,,,,,Wiktionary
kugara,verb,,"sit, be seated; stay, live (somewhere); stay away from",,,,,Wiktionary
garafa,noun,,bottle; piece of glass used to scrape,,,,,Wiktionary
garikuni,noun,Class 5,turkey,,,,,Wiktionary
garo,noun,,buttock,,,,,Wiktionary
garwe,noun,Class 5,crocodile,,,,,Wiktionary
gazi,noun,,blood,,,,,Wiktionary
gejo,noun,,plough,,,,,Wiktionary
girazi,noun,,"glass; glasses, spectacles",,,,,Wiktionary
godo,noun,Class 5,bone,,,,,Wiktionary
goko,noun,Class 5,crocodile,,,,,Wiktionary
gomo,noun,Class 5,"mountain, hill; mountain; hill",dunhu renyika rakakwira zvakanyanya kudarika mamwe,,,,"Wiktionary, Elliott 1897"
gonoriya,noun,,gonorrhea,,,,,Wiktionary
gore,noun,Class 5,year,,,,,Wiktionary
goridhe,noun,,gold,,,,,Wiktionary
gorosi,noun,,barley; wheat,,,,,Wiktionary
gumi,noun,Class 5,ten,,,,,Wiktionary
guyu,noun,Class 5,fig,,,,,Wiktionary
gwa,noun,,#,,,,,Wiktionary
gwai,noun,Class 5,#,,,,,Wiktionary
gwaimani,noun,,trek ox,,,,,Wiktionary
gwanza,noun,,path,,,,,Wiktionary
gwavha,noun,,guava,,,,,Wiktionary
gweta,noun,,lawyer,,,,,Wiktionary
hachi,noun,Class 5,horse,,,,,Wiktionary
hana,noun,,conscience; heartbeat; soul; inner-heart,,,,,Wiktionary
handa,noun,Class 9,puppy,,,,,Wiktionary
hanga,noun,Class 9,helmeted guineafowl,,,,,Wiktionary
hanzi,noun,Class 9,goose,,,,,Wiktionary
hapwa,noun,Class 9,armpit,,,,,Wiktionary
hembe,noun,Class 9,shirt,,,,,Wiktionary
hondo,noun,,war,,,,,Wiktionary
hope,noun,Class 10,sleep,,,,,Wiktionary
hosipitari,noun,Class 9,hospital,,,,,Wiktionary
hozhwa,noun,Class 9,slug or snail,,,,,Wiktionary
huku,noun,Class 9,chicken,,,,,Wiktionary
hukwana,noun,Class 9,young chicken; chick,,,,,Wiktionary
hupfumi,noun,,economy,,,,,Wiktionary
hure,noun,Class 5,"prostitute, whore",,,,,Wiktionary
hwai,noun,Class 9,sheep,,,,,Wiktionary
hwana,noun,Class 9,#,,,,,Wiktionary
ibwe,noun,Class 5,stone; rock,chidimbu chakaoma chenyika chisingawori,,,,"Wiktionary, Elliott 1897"
igwa,noun,Class 5,canoe; boat,,,,,Wiktionary
imba,noun,,house,,,,,Wiktionary
imbwa,noun,Class 9,dog,chipfuyo chinochengetedza musha nekuvhima mhuka,,,,"Wiktionary, Elliott 1897"
imbwanana,noun,Class 9,puppy,,,,,Wiktionary
ingwa,noun,Class 9,#,,,,,Wiktionary
ingwe,noun,Class 9,leopard,,,,,Wiktionary
ishwa,noun,Class 9,termite,,,,,Wiktionary
itsvo,noun,Class 9,kidney,,,,,Wiktionary
jasi,noun,,"overcoat, greatcoat",,,,,Wiktionary
jazi,noun,,#,,,,,Wiktionary
joki,noun,,yoke,,,,,Wiktionary
jonosi,noun,,"ox, a young or untrained one",,,,,Wiktionary
ka-,unknown,,.,,,,,Wiktionary
kukama,verb,,to milk,,,,,Wiktionary
kamba,noun,,leopard,,,,,Wiktionary
kamu,noun,Class 9,comb,,,,,Wiktionary
kanduru,noun,Class 5,candle,,,,,Wiktionary
kandyera,noun,Class 5,candle,,,,,Wiktionary
kukanga,verb,,to fry,,,,,Wiktionary
kepisi,noun,Class 9,cap,,,,,Wiktionary
kirike,noun,Class 9,church,,,,,Wiktionary
kobvu,adjective,,thick; fat,,,,,Wiktionary
konobho,noun,Class 9,button,,,,,Wiktionary
kopa,noun,,copper,,,,,Wiktionary
koroni,noun,,wheat,,,,,Wiktionary
ku-,unknown,,.,,,,,Wiktionary
kuru,adjective,,"big, large; great; adult; big; large",chinhu chinodarika chimwe pakukura kana huwandu,,,,"Wiktionary, Elliott 1897"
kuuzuru,adverb,,"above, high up, upward",,,,,Wiktionary
kukwenya,verb,,to scratch,,,,,Wiktionary
kukwereta,verb,,borrow,,,,,Wiktionary
ma-,unknown,,===Etymology=== . ===Prefix=== #,,,,,Wiktionary
mabwe,noun,Class 6,stones,,,,,Wiktionary
machisi,noun,Class 6,matches,,,,,Wiktionary
mafuta,noun,Class 6,"fat, oil, grease",,,,,Wiktionary
magetsi,noun,Class 6,electricity,,,,,Wiktionary
makomo,noun,,#,,,,,Wiktionary
manje,adverb,,"now, at present; then, so then",,,,,Wiktionary
marasha,noun,Class 6,coal,,,,,Wiktionary
marata,noun,Class 6,corrugated iron,,,,,Wiktionary
mari,noun,Class 9,money,,,,,Wiktionary
mate,noun,Class 6,saliva (liquid secreted into the mouth),,,,,Wiktionary
mbada,noun,Class 9,leopard,,,,,Wiktionary
mbatatisi,noun,Class 9,potato,,,,,Wiktionary
mbeu,noun,Class 9,seed,,,,,Wiktionary
mbira,noun,Class 9,rock hyrax,,,,,Wiktionary
mbiya,noun,Class 9,a kind of round dish used for relish,,,,,Wiktionary
mboro,noun,Class 9,penis,,,,,Wiktionary
mbudzana,noun,Class 9,kid,,,,,Wiktionary
mbudzi,noun,Class 9,goat,,,,,Wiktionary
mbwa,noun,Class 9,#,,,,,Wiktionary
mbwanana,noun,Class 9,#,,,,,Wiktionary
mhara,noun,Class 9,impala,,,,,Wiktionary
mhata,noun,Class 9,"anus, asshole; bad-mannered person, asshole",,,,,Wiktionary
mhene,noun,Class 9,steenbok,,,,,Wiktionary
mhino,noun,Class 9,#,,,,,Wiktionary
mhondoro,noun,,Mhondoro,,,,,Wiktionary
mhou,noun,Class 9,cow; ostrich,,,,,Wiktionary
mhowani,noun,Class 9,ostrich,,,,,Wiktionary
mhumhi,noun,Class 9,African hunting dog (); wolf,,,,,Wiktionary
mhuno,noun,Class 9,nose,,,,,Wiktionary
mi-,unknown,,.,,,,,Wiktionary
mimba,noun,Class 9,uterus; pregnancy,,,,,Wiktionary
mombe,noun,Class 9,cattle; cow,chipfuyo chinopa mukaka nenyama nekushanda pamunda,,,,"Wiktionary, Elliott 1897"
moto,noun,Class 3,fire; heat,kupisa kwemoto; chimoto chinobvira zvinhu zvichitsva,,,,"Wiktionary, Elliott 1897"
motokari,noun,Class 9,"car, vehicle",,,,,Wiktionary
moyo,noun,Class 3,"heart (used in anatomy to refer to the muscular organ which pumps blood throughout the body, as well as in ""metaphorical"" terms in reference to emotional or romantic experiences); heart; spirit; seat of emotion",nhengo yemukati inopomba ropa; pfungwa nemanzwiro emukati,,,,"Wiktionary, Elliott 1897"
mu-,unknown,,.,,,,,Wiktionary
mumanyika,noun,Class 1,A member of the,,,,,Wiktionary
muputukezi,noun,Class 1,Portuguese person,,,,,Wiktionary
murozvi,noun,Class 1,"A member of the Rozvi tribe, the ruling class of the .",,,,,Wiktionary
murungu,noun,Class 1,white person; wealthy person; employer,,,,,Wiktionary
muzezuru,noun,Class 1,A member of the,,,,,Wiktionary
muboora,noun,,cooked pumpkin leaves,,,,,Wiktionary
muchairi,noun,Class 1,#,,,,,Wiktionary
mudhudhudhu,noun,,motorcycle,,,,,Wiktionary
mudzimu,noun,Class 3,spirit elder of the family; soul of a dead person,,,,,Wiktionary
mufarinya,noun,,"cassava, manioc",,,,,Wiktionary
mufundi,noun,Class 1,"student, disciple, learner",,,,,Wiktionary
mugodhi,noun,Class 3,mine,,,,,Wiktionary
muhacha,noun,Class 3,mobola plum,,,,,Wiktionary
muhedheni,noun,Class 1,heathen,,,,,Wiktionary
mukaka,noun,Class 3,milk,mutuvi muchena unobuda pamazamu echikadzi chevanhu nemhuka,,,,"Wiktionary, Elliott 1897"
mukanwa,noun,Class 18,inside of the mouth,,,,,Wiktionary
mukomonisiti,noun,Class 1,communist,,,,,Wiktionary
mukonde,noun,Class 3,"naboom, candelabra tree ()",,,,,Wiktionary
mukuyu,noun,Class 3,fig tree,,,,,Wiktionary
mumhungu,noun,Class 3,round-leaved bloodwood (),,,,,Wiktionary
mundimu,noun,Class 3,lemon tree,,,,,Wiktionary
munhu,noun,Class 1,"person, human; person; human being",chisikwa chinofunga chinorarama pasi pano,,,,"Wiktionary, Elliott 1897"
munwe,noun,Class 3,finger,,,,,Wiktionary
muoko,noun,Class 3,#,,,,,Wiktionary
muonde,noun,Class 3,fig tree,,,,,Wiktionary
mupunga,noun,Class 3,rice,,,,,Wiktionary
muromo,noun,Class 3,"mouth, beak; plowshare",,,,,Wiktionary
murota,noun,,soap,,,,,Wiktionary
musasa,noun,Class 3,msasa tree,,,,,Wiktionary
musoro,noun,Class 3,head; top,,,,,Wiktionary
mutengeni,noun,Class 3,sourplum (),,,,,Wiktionary
mutengi,noun,Class 1,buyer,,,,,Wiktionary
