mwana	child; offspring
-rara	Swadesh Concept: to sleep
-rarama	Swadesh Concept: to live
-fa	Swadesh Concept: to die
-uraya	Swadesh Concept: to kill
-rwa	Swadesh Concept: to fight
-vhima	Swadesh Concept: to hunt
-rova	Swadesh Concept: to hit
-bhura	Swadesh Concept: to hit
-cheka	Swadesh Concept: to cut
-kuma	Swadesh Concept: to cut
-dambura	Swadesh Concept: to split
-baya	Swadesh Concept: to stab
-junga	Swadesh Concept: to stab
-kwenya	Swadesh Concept: to scratch
-kwara	Swadesh Concept: to scratch
-chera	Swadesh Concept: to dig
-tukumbam	Swadesh Concept: to dig
-shambira	Swadesh Concept: to swim
-mbururuka	Swadesh Concept: to fly
-famba	Swadesh Concept: to walk
-uya	Swadesh Concept: to come
-garira ambush	Swadesh Concept: to lie (bed)
-zorora rest	Swadesh Concept: to lie (bed)
-gara	Swadesh Concept: to sit
-sumuka	Swadesh Concept: to stand
-simuka	Swadesh Concept: to stand
-mira	Swadesh Concept: to stand
-pota	Swadesh Concept: to turn
-wa	Swadesh Concept: to fall
-donha	Swadesh Concept: to fall
-pa	Swadesh Concept: to give
-bata	Swadesh Concept: to hold
-pfunda	Swadesh Concept: to hold
-dvinya	Swadesh Concept: to squeeze
-kwiza	Swadesh Concept: to rub
-geza	Swadesh Concept: to wash
-pukuta	Swadesh Concept: to wipe
-zvuva	Swadesh Concept: to pull
-dhonza	Swadesh Concept: to pull
-sunda	Swadesh Concept: to push
-sandidzira	Swadesh Concept: to push
-kanda	Swadesh Concept: to throw
-sunga	Swadesh Concept: to tie
-sona	Swadesh Concept: to sew
-verenga	Swadesh Concept: to count
-rava	Swadesh Concept: to count
-taura	Swadesh Concept: to say
-ti	Swadesh Concept: to say
-imba	Swadesh Concept: to sing
-tamba	Swadesh Concept: to play
-papama	Swadesh Concept: to float
-erera	Swadesh Concept: to flow
-gwamba	Swadesh Concept: to freeze
-tonhodza	Swadesh Concept: to freeze
-zvimba	Swadesh Concept: to swell
zuva	Swadesh Concept: sun; Swadesh Concept: day
jenaguru	Swadesh Concept: moon
mwedzi month	Swadesh Concept: moon
nyeredzi	Swadesh Concept: star
mvura	Swadesh Concept: water
kunaya	Swadesh Concept: rain
rwizi	Swadesh Concept: river
dziva	Swadesh Concept: lake
gungwa	Swadesh Concept: sea
nyanza ocean	Swadesh Concept: sea
munyu	Swadesh Concept: salt
ibwe	Swadesh Concept: stone
jecha	Swadesh Concept: sand
huruva	Swadesh Concept: dust
ivhu	Swadesh Concept: earth
pasi	Swadesh Concept: earth
gore	Swadesh Concept: cloud; Swadesh Concept: year
fuva  manyika	Swadesh Concept: cloud
mhute	Swadesh Concept: fog
denga	Swadesh Concept: sky
mhepo	Swadesh Concept: wind
sino  eng	Swadesh Concept: snow
aisi  eng	Swadesh Concept: ice
hutsi	Swadesh Concept: smoke
moto	Swadesh Concept: fire
dota	Swadesh Concept: ash
-pisa	Swadesh Concept: to burn
rhodhi	Swadesh Concept: road
gomo	Swadesh Concept: mountain
-tsvuku	Swadesh Concept: red
-girini  eng	Swadesh Concept: green
-yero	Swadesh Concept: yellow
-chena	Swadesh Concept: white
-dema	Swadesh Concept: black
husiku	Swadesh Concept: night
-dziya	Swadesh Concept: warm
-tonhora	Swadesh Concept: cold
-zara	Swadesh Concept: full
-itsva	Swadesh Concept: new
-chembera	Swadesh Concept: old
-tsaru	Swadesh Concept: old
-naka	Swadesh Concept: good
-ipa	Swadesh Concept: bad
-ora rot	Swadesh Concept: rotten
-asviba	Swadesh Concept: dirty
-twasanuka	Swadesh Concept: straight
denderedzwa	Swadesh Concept: round
-pinza	Swadesh Concept: sharp (knife)
-gomara	Swadesh Concept: blunt (knife)
-tsetseka	Swadesh Concept: smooth
-totesa	Swadesh Concept: wet
-omesa	Swadesh Concept: dry
-oma	Swadesh Concept: dry
-tsiura	Swadesh Concept: correct
-ruramisa	Swadesh Concept: correct
-pedo	Swadesh Concept: near
-kure	Swadesh Concept: far
-rudyi	Swadesh Concept: right
ruboshwe	Swadesh Concept: left
ku	Swadesh Concept: at
kuna	Swadesh Concept: at
pa	Swadesh Concept: at
pana	Swadesh Concept: at
mu	Swadesh Concept: in
ne	Swadesh Concept: with
na-	Swadesh Concept: and
ne-	Swadesh Concept: and
dai	Swadesh Concept: if
nana	Swadesh Concept: if
kana	Swadesh Concept: if
nekuti	Swadesh Concept: because
zita	Swadesh Concept: name
dzinza family name	Swadesh Concept: name
munda	field; farm; agricultural plot
chiro	thing; item; object
rwizi	river
hove	fish
shiri	bird
ivhu	soil; earth; ground
uchi	honey
doro	beer; alcohol
badza	hoe; digging tool
musha	home; village; homestead
jira	cloth; fabric
kuda	to love; to want; to like
kunzwa	to hear; to feel; to understand
kutaura	to speak; to talk; to converse
kunyora	to write
kumhanya	to run
kuuya	to come
kuenda	to go; to depart
kudzoka	to return; to come back
kumuka	to wake up; to rise
kushanda	to work; to labor
kutamba	to play; to dance
kuimba	to sing
kutenga	to buy; to purchase
kutengesa	to sell
kutora	to take; to receive
kudaidza	to call; to summon
kuchema	to cry; to weep; to mourn
kufunga	to think; to ponder
varimi	plural of murimi (meaning: farmer)
vakuwasha	plural of mukuwasha (meaning: son-in-law)
varora	plural of murora (meaning: daughter-in-law)
vakoma	plural of mukoma (meaning: elder brother)
vaninina	plural of muninina (meaning: younger sibling)
varwere	plural of murwere (meaning: patient / sick person)
varairidzi	plural of murairidzi (meaning: instructor)
varume mukuru	plural of murume mukuru (meaning: elder man)
vakuchikoro	plural of kuchikoro (meaning: to school)
vakumabvazuva	plural of kumabvazuva (meaning: to the east)
vakumadokero	plural of kumadokero (meaning: to the west)
vakumunda	plural of kumunda (meaning: to the field)
vakunevamwe	plural of kunevamwe (meaning: towards others / to people)
vakumakomo	plural of kumakomo (meaning: to the mountains)
vakundiro	plural of kundiro (meaning: to the plate)
vamusha	plural of mumusha (meaning: in the homestead / within the village)
vaguta	plural of muguta (meaning: in the city)
vamunda	plural of mumunda (meaning: in the field)
vachikoro	plural of muchikoro (meaning: inside the school)
vamba	plural of mumba (meaning: inside the house)
varwizi	plural of murwizi (meaning: in the river)
vamapako	plural of mumapako (meaning: in the caves)
vakati	plural of mukati (meaning: inside / within)
vamhanza	plural of mumhanza (meaning: on/in the forehead)
vapfungwa	plural of mupfungwa (meaning: in the mind)
vapfumo	plural of pfumo (meaning: spear)
vapfuma	plural of pfuma (meaning: wealth / riches)
vapfambi	plural of pfambi (meaning: prostitute / unfaithful woman)
maamburera	plural of amburera (meaning: umbrella)
vababa	plural of baba (meaning: father)
mapara	plural of bara (meaning: bullet)
mapatya	plural of batya (meaning: twin)
mabhachi	plural of bhachi (meaning: jacket)
mabhaiskopu	plural of bhaiskopu (meaning: film, movie)
mabhandi	plural of bhandi (meaning: belt; strap)
mabhatye	plural of bhatye (meaning: #)
mabhaudhi	plural of bhaudhi (meaning: bolt)
mabhazi	plural of bhazi (meaning: bus)
mabhikiri	plural of bhikiri (meaning: mug)
mabhiza	plural of bhiza (meaning: horse)
mabhokisi	plural of bhokisi (meaning: box; coffin)
mabhucha	plural of bhucha (meaning: slaughterhouse, butcher's shop)
mabhuku	plural of bhuku (meaning: book)
mabhurugwa	plural of bhurugwa (meaning: #)
mabhurukwa	plural of bhurukwa (meaning: pants, trousers)
mabhurukwe	plural of bhurukwe (meaning: #)
mapundo	plural of bundo (meaning: growing grass; grassland; weed)
mapundu	plural of bundu (meaning: lump; knot in wood)
mapuno	plural of buno (meaning: tomato)
mabvupa	plural of bvupa (meaning: bone)
zvamboko	plural of chamboko (meaning: sjambok)
zvanza	plural of chanza (meaning: palm of hand)
zvidhakwa	plural of chidhakwa (meaning: drunk, drunkard)
zvidhina	plural of chidhina (meaning: brick)
zvigaro	plural of chigaro (meaning: seat, chair; chair; seat; stool)
zvigwagwagwa	plural of chigwagwagwa (meaning: machine gun)
zvikei	plural of chikei (meaning: yoke-pin)
zvikepe	plural of chikepe (meaning: boat)
zvikope	plural of chikope (meaning: eyelid)
zvikoro	plural of chikoro (meaning: school)
zvikwereti	plural of chikwereti (meaning: debt, loan)
zvimurenga	plural of chimurenga (meaning: rebellion, revolution; a war fought against European colonists)
zvinanazi	plural of chinanazi (meaning: pineapple)
zvingwa	plural of chingwa (meaning: bread)
zvinhu	plural of chinhu (meaning: thing, something; pneumonia)
zvipanji	plural of chipanji (meaning: #)
zvipatara	plural of chipatara (meaning: hospital)
zvipfuva	plural of chipfuva (meaning: chest)
zvipikiri	plural of chipikiri (meaning: nail)
zvipoko	plural of chipoko (meaning: ghost)
zviponji	plural of chiponji (meaning: sponge)
zvipunu	plural of chipunu (meaning: spoon)
zvirebvu	plural of chirebvu (meaning: chin)
zvishambo	plural of chishambo (meaning: sponge)
zvitina	plural of chitina (meaning: #)
zvitokisi	plural of chitokisi (meaning: prison cell)
zvitoro	plural of chitoro (meaning: shop)
zvituro	plural of chituro (meaning: #)
zvituru	plural of chituru (meaning: stool)
zviuru	plural of chiuru (meaning: thousand)
zviwepu	plural of chiwepu (meaning: whip)
zvoto	plural of choto (meaning: fireplace (in a house) hearth)
zvuru	plural of churu (meaning: #)
matako	plural of dako (meaning: buttock)
matapiri	plural of dapiri (meaning: potato)
vadhiraivha	plural of dhiraivha (meaning: driver)
madhirezi	plural of dhirezi (meaning: dress)
madhongana	plural of dhongana (meaning: donkey foal)
madhongi	plural of dhongi (meaning: donkey)
madhorobha	plural of dhorobha (meaning: town)
madhuku	plural of dhuku (meaning: head tie)
matondo	plural of dondo (meaning: forest; fruit of the mutondo tree; florescence)
madziva	plural of dziva (meaning: pond, pool)
mafafitera	plural of fafitera (meaning: window)
mafupa	plural of fupa (meaning: #)
makarikuni	plural of garikuni (meaning: turkey)
makarwe	plural of garwe (meaning: crocodile)
makodo	plural of godo (meaning: bone)
makoko	plural of goko (meaning: crocodile)
makore	plural of gore (meaning: year)
makumi	plural of gumi (meaning: ten)
makuyu	plural of guyu (meaning: fig)
makwai	plural of gwai (meaning: #)
mahachi	plural of hachi (meaning: horse)
vahope	plural of hope (meaning: sleep)
mahure	plural of hure (meaning: prostitute, whore)
magwa	plural of igwa (meaning: canoe; boat)
makanduru	plural of kanduru (meaning: candle)
makandyera	plural of kandyera (meaning: candle)
mimoto	plural of moto (meaning: fire; heat)
mimoyo	plural of moyo (meaning: heart (used in anatomy to refer to the muscular organ which pumps blood throughout the body, as well as in \"metaphorical\" terms in reference to emotional or romantic experiences); heart; spirit; seat of emotion)
vamanyika	plural of mumanyika (meaning: A member of the)
vaputukezi	plural of muputukezi (meaning: Portuguese person)
varozvi	plural of murozvi (meaning: A member of the Rozvi tribe, the ruling class of the .)
varungu	plural of murungu (meaning: white person; wealthy person; employer)
